Typ bytovej jednotky;Poèet osôb v bytovej jednotke;Poèet obytnıch miestností v bytovej jednotke
Nezistené;2 osoby;8 obytnıch miestností
Nezistené;2 osoby;9 obytnıch miestností a viac
Nezistené;2 osoby;Nezistené
Nezistené;3 osoby;1 obytná miestnos
Nezistené;3 osoby;2 obytné miestnosti
Nezistené;3 osoby;3 obytné miestnosti
Nezistené;3 osoby;4 obytné miestnosti
Nezistené;3 osoby;5 obytnıch miestností
Nezistené;3 osoby;6 obytnıch miestností
Nezistené;3 osoby;7 obytnıch miestností
Nezistené;3 osoby;8 obytnıch miestností
Nezistené;3 osoby;9 obytnıch miestností a viac
Nezistené;3 osoby;Nezistené
Nezistené;4 osoby;1 obytná miestnos
Nezistené;4 osoby;2 obytné miestnosti
Nezistené;4 osoby;3 obytné miestnosti
Nezistené;4 osoby;4 obytné miestnosti
Nezistené;4 osoby;5 obytnıch miestností
Nezistené;4 osoby;6 obytnıch miestností
Nezistené;4 osoby;7 obytnıch miestností
Nezistené;4 osoby;8 obytnıch miestností
Nezistené;4 osoby;9 obytnıch miestností a viac
Nezistené;4 osoby;Nezistené
Nezistené;5 osôb;1 obytná miestnos
Nezistené;5 osôb;2 obytné miestnosti
Nezistené;5 osôb;3 obytné miestnosti
Nezistené;5 osôb;4 obytné miestnosti
Nezistené;5 osôb;5 obytnıch miestností
Nezistené;5 osôb;6 obytnıch miestností
Nezistené;5 osôb;7 obytnıch miestností
Nezistené;5 osôb;8 obytnıch miestností
Nezistené;5 osôb;9 obytnıch miestností a viac
Nezistené;5 osôb;Nezistené
Nezistené;6 osôb;1 obytná miestnos
Nezistené;6 osôb;2 obytné miestnosti
Nezistené;6 osôb;3 obytné miestnosti
Nezistené;6 osôb;4 obytné miestnosti
Nezistené;6 osôb;5 obytnıch miestností
Nezistené;6 osôb;6 obytnıch miestností
Nezistené;6 osôb;7 obytnıch miestností
Nezistené;6 osôb;8 obytnıch miestností
Nezistené;6 osôb;9 obytnıch miestností a viac
Nezistené;6 osôb;Nezistené
Nezistené;7 osôb;1 obytná miestnos
Nezistené;7 osôb;2 obytné miestnosti
Nezistené;7 osôb;3 obytné miestnosti
Nezistené;7 osôb;4 obytné miestnosti
Nezistené;7 osôb;5 obytnıch miestností
Nezistené;7 osôb;6 obytnıch miestností
Nezistené;7 osôb;7 obytnıch miestností
Nezistené;7 osôb;8 obytnıch miestností
Nezistené;7 osôb;9 obytnıch miestností a viac
Nezistené;7 osôb;Nezistené
Nezistené;8 osôb;1 obytná miestnos
Nezistené;8 osôb;2 obytné miestnosti
Nezistené;8 osôb;3 obytné miestnosti
Nezistené;8 osôb;4 obytné miestnosti
Nezistené;8 osôb;5 obytnıch miestností
Nezistené;8 osôb;6 obytnıch miestností
Nezistené;8 osôb;7 obytnıch miestností
Nezistené;8 osôb;8 obytnıch miestností
Nezistené;8 osôb;9 obytnıch miestností a viac
Nezistené;8 osôb;Nezistené
Nezistené;9 osôb;1 obytná miestnos
Nezistené;9 osôb;2 obytné miestnosti
Nezistené;9 osôb;3 obytné miestnosti
Nezistené;9 osôb;4 obytné miestnosti
Nezistené;9 osôb;5 obytnıch miestností
Nezistené;9 osôb;6 obytnıch miestností
Nezistené;9 osôb;7 obytnıch miestností
Nezistené;9 osôb;8 obytnıch miestností
Nezistené;9 osôb;9 obytnıch miestností a viac
Nezistené;9 osôb;Nezistené
Nezistené;10 osôb;1 obytná miestnos
Nezistené;10 osôb;2 obytné miestnosti
Nezistené;10 osôb;3 obytné miestnosti
Nezistené;10 osôb;4 obytné miestnosti
Nezistené;10 osôb;5 obytnıch miestností
Nezistené;10 osôb;6 obytnıch miestností
Nezistené;10 osôb;7 obytnıch miestností
Nezistené;10 osôb;8 obytnıch miestností
Nezistené;10 osôb;9 obytnıch miestností a viac
Nezistené;10 osôb;Nezistené
Nezistené;11 osôb a viac;1 obytná miestnos
Nezistené;11 osôb a viac;2 obytné miestnosti
Nezistené;11 osôb a viac;3 obytné miestnosti
Nezistené;11 osôb a viac;4 obytné miestnosti
Nezistené;11 osôb a viac;5 obytnıch miestností
Nezistené;11 osôb a viac;6 obytnıch miestností
Nezistené;11 osôb a viac;7 obytnıch miestností
Nezistené;11 osôb a viac;8 obytnıch miestností
Nezistené;11 osôb a viac;9 obytnıch miestností a viac
Nezistené;11 osôb a viac;Nezistené
