Nazov obce;Nazov okresu;Nazov kraja,
Ganovce;Okres Poprad;Presovsky,
Gbelany;Okres Zilina;Zilinsky,
Gbelce;Okres Nove Zamky;Nitriansky,
Gbely;Okres Skalica;Trnavsky,
Geca;Okres Kosice - okolie;Kosicky,
Gelnica;Okres Gelnica;Kosicky,
Gemer;Okres Revuca;Banskobystricky,
Gemercek;Okres Rimavska Sobota;Banskobystricky,
Gemerska Horka;Okres Roznava;Kosicky,
Gemerska Panica;Okres Roznava;Kosicky,
Gemerska Poloma;Okres Roznava;Kosicky,
Gemerska Ves;Okres Revuca;Banskobystricky,
Gemerske Dechtare;Okres Rimavska Sobota;Banskobystricky,
Gemerske Michalovce;Okres Rimavska Sobota;Banskobystricky,
Gemerske Teplice;Okres Revuca;Banskobystricky,
Gemersky Jablonec;Okres Rimavska Sobota;Banskobystricky,
Gemersky Sad;Okres Revuca;Banskobystricky,
Geraltov;Okres Presov;Presovsky,
Gerlachov, okres Bardejov;Okres Bardejov;Presovsky
Gerlachov, okres Poprad;Okres Poprad;Presovsky
Giglovce;Okres Vranov nad Toplou;Presovsky,
Giraltovce;Okres Svidnik;Presovsky,
Girovce;Okres Vranov nad Toplou;Presovsky,
Glabusovce;Okres Velky Krtis;Banskobystricky,
Gocaltovo;Okres Roznava;Kosicky,
Gocovo;Okres Roznava;Kosicky,
Golianovo;Okres Nitra;Nitriansky,
Gortva;Okres Rimavska Sobota;Banskobystricky,
Gotovany;Okres Liptovsky Mikulas;Zilinsky,
Granc-Petrovce;Okres Levoca;Presovsky,
Gregorova Vieska;Okres Lucenec;Banskobystricky,
Gregorovce;Okres Presov;Presovsky,
Gribov;Okres Stropkov;Presovsky,
Gruzovce;Okres Humenne;Presovsky,
Gynov;Okres Kosice - okolie;Kosicky,
Habovka;Okres Tvrdosin;Zilinsky,
Habura;Okres Medzilaborce;Presovsky,
Hacava;Okres Kosice - okolie;Kosicky,
Haj, okres Kosice - okolie;Okres Kosice - okolie;Kosicky
Haj, okres Turcianske Teplice;Okres Turcianske Teplice;Zilinsky
Hajna Nova Ves;Okres Topolcany;Nitriansky,
Hajnacka;Okres Rimavska Sobota;Banskobystricky,
Hajske;Okres Sala;Nitriansky,
Hajtovka;Okres Stara Lubovna;Presovsky,
Halacovce;Okres Banovce nad Bebravou;Trenciansky,
Halic;Okres Lucenec;Banskobystricky,
Haligovce;Okres Stara Lubovna;Presovsky,
Haluzice;Okres Nove Mesto nad Vahom;Trenciansky,
Hamuliakovo;Okres Senec;Bratislavsky,
Handlova;Okres Prievidza;Trenciansky,
Hanigovce;Okres Sabinov;Presovsky,
Haniska, okres Kosice - okolie;Okres Kosice - okolie;Kosicky
Haniska, okres Presov;Okres Presov;Presovsky
Hankova;Okres Roznava;Kosicky,
Hankovce, okres Bardejov;Okres Bardejov;Presovsky
Hankovce, okres Humenne;Okres Humenne;Presovsky
Hanusovce nad Toplou;Okres Vranov nad Toplou;Presovsky,
Harakovce;Okres Levoca;Presovsky,
Harhaj;Okres Bardejov;Presovsky,
Harichovce;Okres Spisska Nova Ves;Kosicky,
Harmanec;Okres Banska Bystrica;Banskobystricky,
Hatalov;Okres Michalovce;Kosicky,
Hatne;Okres Povazska Bystrica;Trenciansky,
Havaj;Okres Stropkov;Presovsky,
Havka;Okres Kezmarok;Presovsky,
Havranec;Okres Svidnik;Presovsky,
Hazin;Okres Michalovce;Kosicky,
Hazin nad Cirochou;Okres Humenne;Presovsky,
Hazlin;Okres Bardejov;Presovsky,
Helcmanovce;Okres Gelnica;Kosicky,
Helpa;Okres Brezno;Banskobystricky,
Henckovce;Okres Roznava;Kosicky,
Henclova;Okres Gelnica;Kosicky,
Hencovce;Okres Vranov nad Toplou;Presovsky,
Hendrichovce;Okres Presov;Presovsky,
Herlany;Okres Kosice - okolie;Kosicky,
Hermanovce;Okres Presov;Presovsky,
Hermanovce nad Toplou;Okres Vranov nad Toplou;Presovsky,
Hertnik;Okres Bardejov;Presovsky,
Hervartov;Okres Bardejov;Presovsky,
Hiadel;Okres Banska Bystrica;Banskobystricky,
Hincovce;Okres Spisska Nova Ves;Kosicky,
Hladovka;Okres Tvrdosin;Zilinsky,
Hlboke;Okres Senica;Trnavsky,
Hlboke nad Vahom;Okres Bytca;Zilinsky,
Hlinik nad Hronom;Okres Ziar nad Hronom;Banskobystricky,
Hlinne;Okres Vranov nad Toplou;Presovsky,
Hlivistia;Okres Sobrance;Kosicky,
Hlohovec;Okres Hlohovec;Trnavsky,
Hniezdne;Okres Stara Lubovna;Presovsky,
Hnilcik;Okres Spisska Nova Ves;Kosicky,
Hnilec;Okres Spisska Nova Ves;Kosicky,
Hnojne;Okres Michalovce;Kosicky,
Hnusta;Okres Rimavska Sobota;Banskobystricky,
Hodejov;Okres Rimavska Sobota;Banskobystricky,
Hodejovec;Okres Rimavska Sobota;Banskobystricky,
Hodkovce;Okres Kosice - okolie;Kosicky,
Hodrusa-Hamre;Okres Zarnovica;Banskobystricky,
Hokovce;Okres Levice;Nitriansky,
Holcikovce;Okres Vranov nad Toplou;Presovsky,
Holiare;Okres Komarno;Nitriansky,
Holice;Okres Dunajska Streda;Trnavsky,
Holic;Okres Skalica;Trnavsky,
Holisa;Okres Lucenec;Banskobystricky,
Holumnica;Okres Kezmarok;Presovsky,
Honce;Okres Roznava;Kosicky,
Hontianska Vrbica;Okres Levice;Nitriansky,
Hontianske Moravce;Okres Krupina;Banskobystricky,
Hontianske Nemce;Okres Krupina;Banskobystricky,
Hontianske Tesare;Okres Krupina;Banskobystricky,
Hontianske Trstany;Okres Levice;Nitriansky,
Horna;Okres Sobrance;Kosicky,
Horna Breznica;Okres Puchov;Trenciansky,
Horna Kralova;Okres Sala;Nitriansky,
Horna Krupa;Okres Trnava;Trnavsky,
Horna Lehota, okres Brezno;Okres Brezno;Banskobystricky
Horna Lehota, okres Dolny Kubin;Okres Dolny Kubin;Zilinsky
Horna Marikova;Okres Povazska Bystrica;Trenciansky,
Horna Micina;Okres Banska Bystrica;Banskobystricky,
Horna Poruba;Okres Ilava;Trenciansky,
Horna Poton;Okres Dunajska Streda;Trnavsky,
Horna Sec;Okres Levice;Nitriansky,
Horna Streda;Okres Nove Mesto nad Vahom;Trenciansky,
Horna Strehova;Okres Velky Krtis;Banskobystricky,
Horna Suca;Okres Trencin;Trenciansky,
Horna Stubna;Okres Turcianske Teplice;Zilinsky,
Horna Ves, okres Prievidza;Okres Prievidza;Trenciansky
Horna Ves, okres Ziar nad Hronom;Okres Ziar nad Hronom;Banskobystricky
Horna Zdana;Okres Ziar nad Hronom;Banskobystricky,
Hornany;Okres Trencin;Trenciansky,
Horne Dubove;Okres Trnava;Trnavsky,
Horne Hamre;Okres Zarnovica;Banskobystricky,
Horne Chlebany;Okres Topolcany;Nitriansky,
Horne Lefantovce;Okres Nitra;Nitriansky,
Horne Mladonice;Okres Krupina;Banskobystricky,
Horne Myto;Okres Dunajska Streda;Trnavsky,
Horne Nastice;Okres Banovce nad Bebravou;Trenciansky,
Horne Obdokovce;Okres Topolcany;Nitriansky,
Horne Oresany;Okres Trnava;Trnavsky,
Horne Otrokovce;Okres Hlohovec;Trnavsky,
Horne Plachtince;Okres Velky Krtis;Banskobystricky,
Horne Prsany;Okres Banska Bystrica;Banskobystricky,
Horne Saliby;Okres Galanta;Trnavsky,
Horne Semerovce;Okres Levice;Nitriansky,
Horne Srnie;Okres Trencin;Trenciansky,
Horne Strhare;Okres Velky Krtis;Banskobystricky,
Horne Stitare;Okres Topolcany;Nitriansky,
Horne Trhoviste;Okres Hlohovec;Trnavsky,
Horne Turovce;Okres Levice;Nitriansky,
Horne Vestenice;Okres Prievidza;Trenciansky,
Horne Zahorany;Okres Rimavska Sobota;Banskobystricky,
Horne Zelenice;Okres Hlohovec;Trnavsky,
Horny Badin;Okres Krupina;Banskobystricky,
Horny Bar;Okres Dunajska Streda;Trnavsky,
Horny Hricov;Okres Zilina;Zilinsky,
Horny Kalnik;Okres Martin;Zilinsky,
Horny Lieskov;Okres Povazska Bystrica;Trenciansky,
Horny Pial;Okres Levice;Nitriansky,
Horny Tisovnik;Okres Detva;Banskobystricky,
Horny Vadicov;Okres Kysucke Nove Mesto;Zilinsky,
Horovce, okres Michalovce;Okres Michalovce;Kosicky
Horovce, okres Puchov;Okres Puchov;Trenciansky
Hoste;Okres Galanta;Trnavsky,
Hostice;Okres Rimavska Sobota;Banskobystricky,
Hostie;Okres Zlate Moravce;Nitriansky,
Hostisovce;Okres Rimavska Sobota;Banskobystricky,
Hostova;Okres Nitra;Nitriansky,
Hostovce, okres Kosice - okolie;Okres Kosice - okolie;Kosicky
Hostovce, okres Zlate Moravce;Okres Zlate Moravce;Nitriansky
Hostovice;Okres Snina;Presovsky,
Hozelec;Okres Poprad;Presovsky,
Horka;Okres Poprad;Presovsky,
Horka nad Vahom;Okres Nove Mesto nad Vahom;Trenciansky,
Horky;Okres Zilina;Zilinsky,
Hrabicov;Okres Zarnovica;Banskobystricky,
Hrabkov;Okres Presov;Presovsky,
Hrabova Roztoka;Okres Snina;Presovsky,
Hrabovcik;Okres Svidnik;Presovsky,
Hrabovec;Okres Bardejov;Presovsky,
Hrabovec nad Laborcom;Okres Humenne;Presovsky,
Hrabovka;Okres Trencin;Trenciansky,
Hrabske;Okres Bardejov;Presovsky,
Hrabusice;Okres Spisska Nova Ves;Kosicky,
Hradisko;Okres Kezmarok;Presovsky,
Hradiste pod Vratnom;Okres Senica;Trnavsky,
Hradiste, okres Partizanske;Okres Partizanske;Trenciansky
Hradiste, okres Poltar;Okres Poltar;Banskobystricky
Hradok;Okres Nove Mesto nad Vahom;Trenciansky,
Hrachoviste;Okres Nove Mesto nad Vahom;Trenciansky,
Hrachovo;Okres Rimavska Sobota;Banskobystricky,
Hran;Okres Trebisov;Kosicky,
Hranicne;Okres Stara Lubovna;Presovsky,
Hranovnica;Okres Poprad;Presovsky,
Hrasne;Okres Myjava;Trenciansky,
Hrasovik;Okres Kosice - okolie;Kosicky,
Hrcel;Okres Trebisov;Kosicky,
Hrhov;Okres Roznava;Kosicky,
Hriadky;Okres Trebisov;Kosicky,
Hricovske Podhradie;Okres Zilina;Zilinsky,
Hrinova;Okres Detva;Banskobystricky,
Hrisovce;Okres Gelnica;Kosicky,
Hrkovce;Okres Levice;Nitriansky,
Hrlica;Okres Revuca;Banskobystricky,
Hrnciarovce nad Parnou;Okres Trnava;Trnavsky,
Hrnciarska Ves;Okres Poltar;Banskobystricky,
Hrnciarske Zaluzany;Okres Poltar;Banskobystricky,
Hrochot;Okres Banska Bystrica;Banskobystricky,
Hromos;Okres Stara Lubovna;Presovsky,
Hronec;Okres Brezno;Banskobystricky,
Hronovce;Okres Levice;Nitriansky,
Hronsek;Okres Banska Bystrica;Banskobystricky,
Hronska Breznica;Okres Zvolen;Banskobystricky,
Hronska Dubrava;Okres Ziar nad Hronom;Banskobystricky,
Hronske Klacany;Okres Levice;Nitriansky,
Hronske Kosihy;Okres Levice;Nitriansky,
Hronsky Benadik;Okres Zarnovica;Banskobystricky,
Hruba Borsa;Okres Senec;Bratislavsky,
Hrubonovo;Okres Nitra;Nitriansky,
Hrubov;Okres Humenne;Presovsky,
Hruby Sur;Okres Senec;Bratislavsky,
Hrusov, okres Roznava;Okres Roznava;Kosicky
Hrusov, okres Velky Krtis;Okres Velky Krtis;Banskobystricky
Hrusovany;Okres Topolcany;Nitriansky,
Hrusovo;Okres Rimavska Sobota;Banskobystricky,
Hrustin;Okres Namestovo;Zilinsky,
Hubice;Okres Dunajska Streda;Trnavsky,
Hubina;Okres Piestany;Trnavsky,
Hubosovce;Okres Sabinov;Presovsky,
Hubova;Okres Ruzomberok;Zilinsky,
Hubovo;Okres Rimavska Sobota;Banskobystricky,
Hucin;Okres Revuca;Banskobystricky,
Hudcovce;Okres Humenne;Presovsky,
Hul;Okres Nove Zamky;Nitriansky,
Humenne;Okres Humenne;Presovsky,
Huncovce;Okres Kezmarok;Presovsky,
Hunkovce;Okres Svidnik;Presovsky,
Hurbanova Ves;Okres Senec;Bratislavsky,
Hurbanovo;Okres Komarno;Nitriansky,
Husak;Okres Sobrance;Kosicky,
Husina;Okres Rimavska Sobota;Banskobystricky,
Hutka;Okres Bardejov;Presovsky,
Huty;Okres Liptovsky Mikulas;Zilinsky,
Hviezdoslavov;Okres Dunajska Streda;Trnavsky,
Hvozdnica;Okres Bytca;Zilinsky,
Hybe;Okres Liptovsky Mikulas;Zilinsky,
Hylov;Okres Kosice - okolie;Kosicky,
Chanava;Okres Rimavska Sobota;Banskobystricky,
Chlaba;Okres Nove Zamky;Nitriansky,
Chlebnice;Okres Dolny Kubin;Zilinsky,
Chlmec;Okres Humenne;Presovsky,
Chmelnica;Okres Stara Lubovna;Presovsky,
Chmelov;Okres Presov;Presovsky,
Chmelova;Okres Bardejov;Presovsky,
Chmelovec;Okres Presov;Presovsky,
Chminany;Okres Presov;Presovsky,
Chminianska Nova Ves;Okres Presov;Presovsky,
Chminianske Jakubovany;Okres Presov;Presovsky,
Choca;Okres Zlate Moravce;Nitriansky,
Chocholna-Velcice;Okres Trencin;Trenciansky,
Chonkovce;Okres Sobrance;Kosicky,
Chorvatsky Grob;Okres Senec;Bratislavsky,
Chorvaty;Okres Kosice - okolie;Kosicky,
Chotca;Okres Stropkov;Presovsky,
Chotin;Okres Komarno;Nitriansky,
Chrabrany;Okres Topolcany;Nitriansky,
Chramec;Okres Rimavska Sobota;Banskobystricky,
Chrast nad Hornadom;Okres Spisska Nova Ves;Kosicky,
Chrastince;Okres Velky Krtis;Banskobystricky,
Chrastne;Okres Kosice - okolie;Kosicky,
Chrenovec-Brusno;Okres Prievidza;Trenciansky,
Chropov;Okres Skalica;Trnavsky,
Chrtany;Okres Velky Krtis;Banskobystricky,
Chtelnica;Okres Piestany;Trnavsky,
Chuda Lehota;Okres Banovce nad Bebravou;Trenciansky,
Chvalova;Okres Revuca;Banskobystricky,
Chvojnica, okres Myjava;Okres Myjava;Trenciansky
Chvojnica, okres Prievidza;Okres Prievidza;Trenciansky
Chynorany;Okres Partizanske;Trenciansky,
Chyzne;Okres Revuca;Banskobystricky,
Igram;Okres Senec;Bratislavsky,
Ihlany;Okres Kezmarok;Presovsky,
Ihrac;Okres Ziar nad Hronom;Banskobystricky,
Ilava;Okres Ilava;Trenciansky,
Iliasovce;Okres Spisska Nova Ves;Kosicky,
Ilija;Okres Banska Stiavnica;Banskobystricky,
Imel;Okres Komarno;Nitriansky,
Ina;Okres Levice;Nitriansky,
Inacovce;Okres Michalovce;Kosicky,
Inovce;Okres Sobrance;Kosicky,
Ipelske Predmostie;Okres Velky Krtis;Banskobystricky,
Ipelske Ulany;Okres Levice;Nitriansky,
Ipelsky Sokolec;Okres Levice;Nitriansky,
Istebne;Okres Dolny Kubin;Zilinsky,
Ivachnova;Okres Ruzomberok;Zilinsky,
Ivancina;Okres Turcianske Teplice;Zilinsky,
Ivanice;Okres Rimavska Sobota;Banskobystricky,
Ivanka pri Dunaji;Okres Senec;Bratislavsky,
Ivanka pri Nitre;Okres Nitra;Nitriansky,
Ivanovce;Okres Trencin;Trenciansky,
Iza;Okres Komarno;Nitriansky,
Izipovce;Okres Liptovsky Mikulas;Zilinsky,
Izkovce;Okres Michalovce;Kosicky,
Jablon;Okres Humenne;Presovsky,
Jablonec;Okres Pezinok;Bratislavsky,
Jablonica;Okres Senica;Trnavsky,
Jablonka;Okres Myjava;Trenciansky,
Jablonov;Okres Levoca;Presovsky,
Jablonov nad Turnou;Okres Roznava;Kosicky,
Jablonovce;Okres Levice;Nitriansky,
Jablonove, okres Bytca;Okres Bytca;Zilinsky
Jablonove, okres Malacky;Okres Malacky;Bratislavsky
Jacovce;Okres Topolcany;Nitriansky,
Jahodna;Okres Dunajska Streda;Trnavsky,
Jaklovce;Okres Gelnica;Kosicky,
Jakovany;Okres Sabinov;Presovsky,
Jakubany;Okres Stara Lubovna;Presovsky,
Jakubov;Okres Malacky;Bratislavsky,
Jakubova Vola;Okres Sabinov;Presovsky,
Jakubovany, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky
Jakubovany, okres Sabinov;Okres Sabinov;Presovsky
Jakusovce;Okres Stropkov;Presovsky,
Jalova;Okres Snina;Presovsky,
Jalovec, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky
Jalovec, okres Prievidza;Okres Prievidza;Trenciansky
Jalsove;Okres Hlohovec;Trnavsky,
Jalsovik;Okres Krupina;Banskobystricky,
Jamnik, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky
Jamnik, okres Spisska Nova Ves;Okres Spisska Nova Ves;Kosicky
Janice;Okres Rimavska Sobota;Banskobystricky,
Janik;Okres Kosice - okolie;Kosicky,
Janiky;Okres Dunajska Streda;Trnavsky,
Jankovce;Okres Humenne;Presovsky,
Janov;Okres Presov;Presovsky,
Janova Lehota;Okres Ziar nad Hronom;Banskobystricky,
Janovce;Okres Bardejov;Presovsky,
Janovce, okres Galanta;Okres Galanta;Trnavsky
Janovce, okres Poprad;Okres Poprad;Presovsky
Janovik;Okres Presov;Presovsky,
Jaraba;Okres Brezno;Banskobystricky,
Jarabina;Okres Stara Lubovna;Presovsky,
Jarok;Okres Nitra;Nitriansky,
Jarovnice;Okres Sabinov;Presovsky,
Jasenica;Okres Povazska Bystrica;Trenciansky,
Jasenie;Okres Brezno;Banskobystricky,
Jasenov, okres Humenne;Okres Humenne;Presovsky
Jasenov, okres Sobrance;Okres Sobrance;Kosicky
Jasenova;Okres Dolny Kubin;Zilinsky,
Jasenovce;Okres Vranov nad Toplou;Presovsky,
Jasenove;Okres Zilina;Zilinsky,
Jasenovo;Okres Turcianske Teplice;Zilinsky,
Jaslovske Bohunice;Okres Trnava;Trnavsky,
Jasov;Okres Kosice - okolie;Kosicky,
Jasova;Okres Nove Zamky;Nitriansky,
Jastraba;Okres Ziar nad Hronom;Banskobystricky,
Jastrabie nad Toplou;Okres Vranov nad Toplou;Presovsky,
Jastrabie pri Michalovciach;Okres Michalovce;Kosicky,
Jatov;Okres Nove Zamky;Nitriansky,
Jazernica;Okres Turcianske Teplice;Zilinsky,
Jedlinka;Okres Bardejov;Presovsky,
Jedlove Kostolany;Okres Zlate Moravce;Nitriansky,
Jelenec;Okres Nitra;Nitriansky,
Jelka;Okres Galanta;Trnavsky,
Jelsava;Okres Revuca;Banskobystricky,
Jelsovce;Okres Nitra;Nitriansky,
Jelsovec;Okres Lucenec;Banskobystricky,
Jenkovce;Okres Sobrance;Kosicky,
Jesenske, okres Levice;Okres Levice;Nitriansky
Jesenske, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky
Jestice;Okres Rimavska Sobota;Banskobystricky,
Jeskova Ves;Okres Partizanske;Trenciansky,
Jezersko;Okres Kezmarok;Presovsky,
Jovice;Okres Roznava;Kosicky,
Jovsa;Okres Michalovce;Kosicky,
Jur nad Hronom;Okres Levice;Nitriansky,
Jurkova Vola;Okres Svidnik;Presovsky,
Jurova;Okres Dunajska Streda;Trnavsky,
Jurske;Okres Kezmarok;Presovsky,
Juskova Vola;Okres Vranov nad Toplou;Presovsky,
Kacanov;Okres Michalovce;Kosicky,
Kajal;Okres Galanta;Trnavsky,
Kalamenova;Okres Turcianske Teplice;Zilinsky,
Kalameny;Okres Ruzomberok;Zilinsky,
Kalava;Okres Spisska Nova Ves;Kosicky,
Kalinkovo;Okres Senec;Bratislavsky,
Kalinov;Okres Medzilaborce;Presovsky,
Kalinovo;Okres Poltar;Banskobystricky,
Kalna nad Hronom;Okres Levice;Nitriansky,
Kalna Roztoka;Okres Snina;Presovsky,
Kalnica;Okres Nove Mesto nad Vahom;Trenciansky,
Kalniste;Okres Svidnik;Presovsky,
Kalonda;Okres Lucenec;Banskobystricky,
Kalosa;Okres Rimavska Sobota;Banskobystricky,
Kalsa;Okres Kosice - okolie;Kosicky,
Kaluza;Okres Michalovce;Kosicky,
Kamanova;Okres Topolcany;Nitriansky,
Kamenany;Okres Revuca;Banskobystricky,
Kamenec pod Vtacnikom;Okres Prievidza;Trenciansky,
Kamenica;Okres Sabinov;Presovsky,
Kamenica nad Cirochou;Okres Humenne;Presovsky,
Kamenica nad Hronom;Okres Nove Zamky;Nitriansky,
Kamenicany;Okres Ilava;Trenciansky,
Kamenicna;Okres Komarno;Nitriansky,
Kamenin;Okres Nove Zamky;Nitriansky,
Kamenna Poruba, okres Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky
Kamenna Poruba, okres Zilina;Okres Zilina;Zilinsky
Kamenne Kosihy;Okres Velky Krtis;Banskobystricky,
Kamenny Most;Okres Nove Zamky;Nitriansky,
Kamienka, okres Humenne;Okres Humenne;Presovsky
Kamienka, okres Stara Lubovna;Okres Stara Lubovna;Presovsky
Kanianka;Okres Prievidza;Trenciansky,
Kapince;Okres Nitra;Nitriansky,
Kapisova;Okres Svidnik;Presovsky,
Kaplna;Okres Senec;Bratislavsky,
Kapusany;Okres Presov;Presovsky,
Kapusianske Klacany;Okres Michalovce;Kosicky,
Karlova;Okres Martin;Zilinsky,
Karna;Okres Humenne;Presovsky,
Kasov;Okres Trebisov;Kosicky,
Katlovce;Okres Trnava;Trnavsky,
Katov;Okres Skalica;Trnavsky,
Kazimir;Okres Trebisov;Kosicky,
Kecerovce;Okres Kosice - okolie;Kosicky,
Kecerovsky Lipovec;Okres Kosice - okolie;Kosicky,
Keckovce;Okres Svidnik;Presovsky,
Kecovo;Okres Roznava;Kosicky,
Kechnec;Okres Kosice - okolie;Kosicky,
Kendice;Okres Presov;Presovsky,
Kesovce;Okres Rimavska Sobota;Banskobystricky,
Ket;Okres Levice;Nitriansky,
Kezmarok;Okres Kezmarok;Presovsky,
Kiarov;Okres Velky Krtis;Banskobystricky,
Klacany;Okres Hlohovec;Trnavsky,
Klace;Okres Zilina;Zilinsky,
Klacno;Okres Prievidza;Trenciansky,
Kladzany;Okres Vranov nad Toplou;Presovsky,
Klak;Okres Zarnovica;Banskobystricky,
Klasov;Okres Nitra;Nitriansky,
Klastor pod Znievom;Okres Martin;Zilinsky,
Klatova Nova Ves;Okres Partizanske;Trenciansky,
Klcov;Okres Levoca;Presovsky,
Klenany;Okres Velky Krtis;Banskobystricky,
Klenov;Okres Presov;Presovsky,
Klenova;Okres Snina;Presovsky,
Klenovec;Okres Rimavska Sobota;Banskobystricky,
Kliestina;Okres Povazska Bystrica;Trenciansky,
Klin;Okres Namestovo;Zilinsky,
Klin nad Bodrogom;Okres Trebisov;Kosicky,
Klizska Nema;Okres Komarno;Nitriansky,
Klokoc;Okres Detva;Banskobystricky,
Klokocov, okres Cadca;Okres Cadca;Zilinsky
Klokocov, okres Michalovce;Okres Michalovce;Kosicky
Klubina;Okres Cadca;Zilinsky,
Klucovec;Okres Dunajska Streda;Trnavsky,
Kluknava;Okres Gelnica;Kosicky,
Klusov;Okres Bardejov;Presovsky,
Kmetovo;Okres Nove Zamky;Nitriansky,
Kobeliarovo;Okres Roznava;Kosicky,
Kobylnice;Okres Svidnik;Presovsky,
Kobyly;Okres Bardejov;Presovsky,
Kocelovce;Okres Roznava;Kosicky,
Kociha;Okres Rimavska Sobota;Banskobystricky,
Kocurany;Okres Prievidza;Trenciansky,
Kocin-Lancar;Okres Piestany;Trnavsky,
Kocovce;Okres Nove Mesto nad Vahom;Trenciansky,
Kochanovce, okres Bardejov;Okres Bardejov;Presovsky
Kochanovce, okres Humenne;Okres Humenne;Presovsky
Kojatice;Okres Presov;Presovsky,
Kojsov;Okres Gelnica;Kosicky,
Kokava nad Rimavicou;Okres Poltar;Banskobystricky,
Kokosovce;Okres Presov;Presovsky,
Koksov-Baksa;Okres Kosice - okolie;Kosicky,
Kolackov;Okres Stara Lubovna;Presovsky,
Kolacno;Okres Partizanske;Trenciansky,
Kolare;Okres Velky Krtis;Banskobystricky,
Kolarovice;Okres Bytca;Zilinsky,
Kolarovo;Okres Komarno;Nitriansky,
Kolbasov;Okres Snina;Presovsky,
Kolbovce;Okres Stropkov;Presovsky,
Kolibabovce;Okres Sobrance;Kosicky,
Kolinany;Okres Nitra;Nitriansky,
Kolinovce;Okres Spisska Nova Ves;Kosicky,
Kolonica;Okres Snina;Presovsky,
Kolta;Okres Nove Zamky;Nitriansky,
Komarany;Okres Vranov nad Toplou;Presovsky,
Komarno;Okres Komarno;Nitriansky,
Komarov;Okres Bardejov;Presovsky,
Komarovce;Okres Kosice - okolie;Kosicky,
Komjatice;Okres Nove Zamky;Nitriansky,
Komjatna;Okres Ruzomberok;Zilinsky,
Komoca;Okres Nove Zamky;Nitriansky,
Koniarovce;Okres Topolcany;Nitriansky,
Konradovce;Okres Rimavska Sobota;Banskobystricky,
Konska, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky
Konska, okres Zilina;Okres Zilina;Zilinsky
Konus;Okres Sobrance;Kosicky,
Kopcany;Okres Skalica;Trnavsky,
Kopernica;Okres Ziar nad Hronom;Banskobystricky,
Koplotovce;Okres Hlohovec;Trnavsky,
Koprivnica;Okres Bardejov;Presovsky,
Kordiky;Okres Banska Bystrica;Banskobystricky,
Korejovce;Okres Svidnik;Presovsky,
Korna;Okres Cadca;Zilinsky,
Koromla;Okres Sobrance;Kosicky,
Korunkova;Okres Stropkov;Presovsky,
Korytarky;Okres Detva;Banskobystricky,
Korytne;Okres Levoca;Presovsky,
Kosihovce;Okres Velky Krtis;Banskobystricky,
Kosihy nad Iplom;Okres Velky Krtis;Banskobystricky,
Kosorin;Okres Ziar nad Hronom;Banskobystricky,
Kostolany nad Hornadom;Okres Kosice - okolie;Kosicky,
Kostolany pod Tribecom;Okres Zlate Moravce;Nitriansky,
Kostolec;Okres Povazska Bystrica;Trenciansky,
Kostoliste;Okres Malacky;Bratislavsky,
Kostolna pri Dunaji;Okres Senec;Bratislavsky,
Kostolna Ves;Okres Prievidza;Trenciansky,
Kostolna-Zariecie;Okres Trencin;Trenciansky,
Kostolne;Okres Myjava;Trenciansky,
Kostolne Kracany;Okres Dunajska Streda;Trnavsky,
Kos;Okres Prievidza;Trenciansky,
Kosariska;Okres Myjava;Trenciansky,
Kosarovce;Okres Humenne;Presovsky,
Koseca;Okres Ilava;Trenciansky,
Kosecke Podhradie;Okres Ilava;Trenciansky,
Kosice - mestska cast Barca;Okres Kosice IV;Kosicky,
Kosice - mestska cast Dargovskych hrdinov;Okres Kosice III;Kosicky,
Kosice - mestska cast Dzungla;Okres Kosice I;Kosicky,
Kosice - mestska cast Juh;Okres Kosice IV;Kosicky,
Kosice - mestska cast Kavecany;Okres Kosice I;Kosicky,
Kosice - mestska cast Kosicka Nova Ves;Okres Kosice III;Kosicky,
Kosice - mestska cast Krasna;Okres Kosice IV;Kosicky,
Kosice - mestska cast Lorincik;Okres Kosice II;Kosicky,
Kosice - mestska cast Lunik IX;Okres Kosice II;Kosicky,
Kosice - mestska cast Myslava;Okres Kosice II;Kosicky,
Kosice - mestska cast Nad jazerom;Okres Kosice IV;Kosicky,
Kosice - mestska cast Peres;Okres Kosice II;Kosicky,
Kosice - mestska cast Polov;Okres Kosice II;Kosicky,
Kosice - mestska cast Sever;Okres Kosice I;Kosicky,
Kosice - mestska cast Sidlisko KVP;Okres Kosice II;Kosicky,
Kosice - mestska cast Sidlisko Tahanovce;Okres Kosice I;Kosicky,
Kosice - mestska cast Stare Mesto;Okres Kosice I;Kosicky,
Kosice - mestska cast Saca;Okres Kosice II;Kosicky,
Kosice - mestska cast Sebastovce;Okres Kosice IV;Kosicky,
Kosice - mestska cast Tahanovce;Okres Kosice I;Kosicky,
Kosice - mestska cast Vysne Opatske;Okres Kosice IV;Kosicky,
Kosice - mestska cast Zapad;Okres Kosice II;Kosicky,
